"Date","Price","Open","High","Low","Vol.","Change %"
"08/10/2018","869.63","873.19","873.25","865.66","","-0.64%"
"08/09/2018","875.20","871.24","875.32","871.19","","0.50%"
"08/08/2018","870.81","867.96","871.44","866.44","","0.81%"
"08/07/2018","863.81","858.67","864.92","858.53","","0.79%"
"08/06/2018","857.01","856.48","859.55","855.49","","0.39%"
"08/03/2018","853.72","852.48","853.96","849.53","","0.31%"
"08/02/2018","851.11","853.16","853.56","845.21","","-0.21%"
"08/01/2018","852.94","856.41","856.43","849.46","","-0.16%"
"07/31/2018","854.30","855.88","855.88","849.65","","-0.09%"
"07/30/2018","855.07","854.34","856.67","852.48","","-0.25%"
"07/27/2018","857.20","858.96","862.75","855.11","","-0.54%"
"07/26/2018","861.86","867.95","868.55","861.82","","-0.64%"
"07/25/2018","867.45","864.10","867.45","861.46","","0.52%"
"07/24/2018","862.95","859.26","862.95","857.35","","0.47%"
"07/23/2018","858.95","852.96","858.95","849.47","","0.63%"
"07/20/2018","853.57","856.78","858.56","851.52","","-0.43%"
"07/19/2018","857.26","856.48","857.81","854.21","","0.48%"
"07/18/2018","853.19","851.27","853.19","847.44","","0.36%"
"07/17/2018","850.15","853.02","854.20","848.14","","-0.14%"
"07/16/2018","851.34","842.46","852.32","842.46","","1.28%"
"07/13/2018","840.56","836.21","840.56","835.70","","0.70%"
"07/12/2018","834.71","833.29","835.37","831.47","","0.27%"
"07/11/2018","832.45","831.94","832.58","829.13","","0.05%"
"07/10/2018","832.07","826.44","832.28","824.95","","0.69%"
"07/09/2018","826.35","819.94","826.35","818.80","","0.70%"
"07/06/2018","820.64","820.64","822.89","818.75","","0.04%"
"07/05/2018","820.29","816.77","820.57","815.16","","0.33%"
"07/04/2018","817.59","824.78","825.46","817.40","","-0.85%"
"07/03/2018","824.64","822.25","827.00","820.92","","0.48%"
"07/02/2018","820.73","825.12","825.27","817.25","","-0.25%"
"06/29/2018","822.79","811.76","822.86","811.76","","1.39%"
"06/28/2018","811.54","814.29","815.91","809.68","","-0.46%"
"06/27/2018","815.33","813.78","815.84","806.78","","0.25%"
"06/26/2018","813.26","820.11","820.11","811.20","","-0.75%"
"06/25/2018","819.41","827.01","827.01","818.64","","-0.66%"
